Antecedent,Consequent
almonds,burgers
bacon,ground beef
bacon,pancakes
bacon,spaghetti
barbecue sauce,turkey
black tea,milk
blueberries,ground beef
blueberries,spaghetti
body spray,french fries
burger sauce,spaghetti
cider,burgers
ham,burgers
cereals,milk
extra dark chocolate,chicken
light cream,chicken
chili,spaghetti
tomato sauce,chocolate
cider,eggs
cider,milk
clothes accessories,green tea
mushroom cream sauce,escalope
pasta,escalope
extra dark chocolate,mineral water
extra dark chocolate,olive oil
extra dark chocolate,pancakes
flax seed,green tea
shallot,french fries
fresh tuna,pancakes
fromage blanc,honey
green grapes,frozen vegetables
parmesan cheese,frozen vegetables
shrimp,frozen vegetables
tomatoes,frozen vegetables
gluten free bar,pancakes
grated cheese,ground beef
green beans,spaghetti
magazines,green tea
shallot,green tea
herb & pepper,ground beef
light cream,ground beef
olive oil,ground beef
pepper,ground beef
rice,ground beef
salmon,ground beef
ground beef,spaghetti
tomato sauce,ground beef
yams,ground beef
light cream,olive oil
light cream,pancakes
light mayo,pancakes
mayonnaise,mineral water
meatballs,milk
soup,milk
strong cheese,milk
whole wheat pasta,milk
nonfat milk,mineral water
whole wheat pasta,olive oil
whole weat flour,pancakes
pasta,shrimp
pepper,spaghetti
red wine,spaghetti
strong cheese,spaghetti
tomato sauce,spaghetti
burgers almonds,eggs
almonds chocolate,milk
almonds chocolate,spaghetti
eggs almonds,french fries
almonds mineral water,green tea
ground beef almonds,spaghetti
burgers avocado,spaghetti
avocado chocolate,milk
french fries avocado,green tea
avocado mineral water,milk
avocado milk,spaghetti
avocado soup,mineral water
milk black tea,mineral water
brownies mineral water,cake
brownies eggs,mineral water
brownies ground beef,mineral water
chocolate cake,burgers
burgers frozen vegetables,cake
burgers cake,milk
pancakes burgers,cake
burgers turkey,cake
burgers chicken,chocolate
burgers chicken,milk
burgers chicken,spaghetti
burgers ham,chocolate
burgers chocolate,milk
burgers olive oil,chocolate
burgers shrimp,chocolate
burgers chocolate,spaghetti
chocolate turkey,burgers
burgers whole wheat rice,chocolate
burgers cookies,eggs
burgers cookies,french fries
burgers cookies,green tea
burgers cooking oil,eggs
burgers french fries,eggs
eggs green tea,burgers
eggs ground beef,burgers
pancakes burgers,eggs
burgers turkey,eggs
